rule_environment_id,count,avg,std,p_value,rule_id,radius,from_smiles_id,to_smiles_id,from_smiles,to_smiles,num_heavies
328783,23,-0.404449485147711,0.52277083908414,0.00121911106876647,918,1,453,454,[*:1]C,[*:1][H],0
233197,24,0.669420632643876,0.757794480483463,0.000248806648932474,12022,1,3289,454,[*:1]O,[*:1][H],0
376260,24,0.199134913685898,0.412247211396471,0.0267598044833047,38304,1,3331,454,[*:1]C#N,[*:1][H],0
376889,24,0.248567861959713,0.428764564305575,0.00927319546780602,12023,2,3290,454,[*:1]OC,[*:1][H],0
10313,27,0.161637169015165,0.344989450879426,0.0220818752130157,1623,0,453,816,[*:1]C,[*:1]C(C)C,3
320509,27,-0.395502541667074,0.45537208862846,0.000121561551636198,918,3,453,454,[*:1]C,[*:1][H],0
239023,28,0.161240736220865,0.399481324798698,0.0419185031678194,38304,0,3331,454,[*:1]C#N,[*:1][H],0
59154,29,-0.435900871491471,0.623279124205667,0.00078365624485635,9470,0,843,454,[*:1]CC,[*:1][H],0
74872,32,0.344470704740645,0.434784987700772,9.42665874745498e-05,12021,0,3289,3290,[*:1]O,[*:1]OC,2
376081,32,-0.154413964808682,0.414447579192143,0.0432498897406503,10745,1,453,662,[*:1]C,[*:1]F,1
10301,33,-0.200373582205932,0.462317834647292,0.018169569539468,1621,0,842,816,[*:1]C(C)(C)C,[*:1]C(C)C,3
372900,37,0.266353132721305,0.462450216624865,0.00124696888644769,12022,1,3289,454,[*:1]O,[*:1][H],0
59858,40,-0.181507085375178,0.431233054552234,0.0112241266716184,9584,0,1047,1473,[*:1]C([*:2])(C)C,[*:1]C([*:2])C,2
356015,40,-0.432824374806369,0.531778753921289,7.85115252170557e-06,918,1,453,454,[*:1]C,[*:1][H],0
313952,42,-0.383582921901278,0.534102794567045,3.38419235184864e-05,918,1,453,454,[*:1]C,[*:1][H],0
67172,45,-0.231526200066978,0.617117834262541,0.0155638972330753,918,1,453,454,[*:1]C,[*:1][H],0
379313,55,0.111046370494745,0.408447694747855,0.0487571560810349,58655,2,3863,454,[*:1]Cl,[*:1][H],0
74878,84,0.354513211738978,0.590614467322973,4.0873449425194e-07,12022,0,3289,454,[*:1]O,[*:1][H],0
375932,86,0.122231785406228,0.383450621569818,0.0040311692227863,12023,1,3290,454,[*:1]OC,[*:1][H],0
67142,87,-0.0626835809727865,0.23792280033562,0.0160022727523016,918,1,453,454,[*:1]C,[*:1][H],0
320500,90,-0.111333348888889,0.343747405763734,0.00281578234770613,918,3,453,454,[*:1]C,[*:1][H],0
74884,97,0.124460020576361,0.376543723058286,0.00156496332980902,12023,0,3290,454,[*:1]OC,[*:1][H],0
320314,124,-0.15438164827696,0.395785139446649,2.90024653537759e-05,918,2,453,454,[*:1]C,[*:1][H],0
319471,159,-0.219364249172041,0.47065959628781,2.40016370842207e-08,918,1,453,454,[*:1]C,[*:1][H],0
5915,554,-0.183466899665958,0.470885538726534,9.23073527881518e-19,918,0,453,454,[*:1]C,[*:1][H],0
