Molecule_ChEMBL_ID	Smiles	Standard_Type	Standard_Value	Standard_Units	Document_Year
CHEMBL5183067	Cn1cc(Nc2nc(NC3(C)CC3)c3c(=O)n(C)ccc3n2)cn1	Papp	67	10^-6 cm/s	2022
CHEMBL5190559	CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(-c5cn(C)nn5)ccc4n3)cn2)CC1	Papp	21	10^-6 cm/s	2022
CHEMBL5195440	Cc1ccc(F)c2cc(C(=O)N[C@@H]3CCC[C@H](N4CCN5C(=O)CC[C@H]5C4)C3)[nH]c12	Papp	17	10^-6 cm/s	2022
CHEMBL5192803	CC(=O)c1cc(C(=O)Nc2cc(CO)cc(-c3cnn(C4CC4)c3)c2F)c2cc(OC(=O)N(C)C)ccn12	Papp	2.89	10^-6 cm/s	2022
CHEMBL27	CC(C)NCC(O)COc1cccc2ccccc12	Papp	18.47	10^-6 cm/s	2022
CHEMBL5173528	O=c1[nH]c(=O)n(C2CC2)c2nc(Cc3nc4ccccc4[nH]3)n(Cc3ccccc3)c12	Papp	7	10^-6 cm/s	2022
CHEMBL5192356	CCn1c(=O)[nH]c(=O)c2c1nc(Sc1nc3ccccc3[nH]1)n2Cc1ccccc1	Papp	78.4	10^-6 cm/s	2022
CHEMBL5172896	COCCO[C@H]1CC[C@H](NC(=O)c2cc(-c3cncs3)nc3[nH]ccc23)CC1	Papp	17.5	10^-6 cm/s	2022
CHEMBL521606	CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2	Papp	0.0491	10^-6 cm/s	2022
CHEMBL3301607	O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1	Papp	0.28	10^-6 cm/s	2022
CHEMBL3301607	O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1	Papp	24.48	10^-6 cm/s	2022
CHEMBL5185192	O=C(Nc1nc2cccc(C3CCC(NC(=O)C4(F)CC4)CC3)n2n1)C1CC1	Papp	28.65	10^-6 cm/s	2022
CHEMBL5191228	O=C(Nc1nc2cccc(C3CCC4(CC3)CCN(C(=O)[C@@H]3CC3(F)F)CC4)n2n1)C1CC1	Papp	29.06	10^-6 cm/s	2022
CHEMBL5207998	Cc1cc(-c2n[nH]c3ccc(N[C@H]4CCCc5cc(C#N)ccc54)cc23)cc(C)n1	Papp	4.6	10^-6 cm/s	2022
CHEMBL5198808	N#Cc1ccc2c(c1)OCC[C@H]2Nc1ccc2[nH]nc(-c3ccncc3)c2c1	Papp	25	10^-6 cm/s	2022
CHEMBL6	COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1	Papp	18	10^-6 cm/s	2023
CHEMBL5172896	COCCO[C@H]1CC[C@H](NC(=O)c2cc(-c3cncs3)nc3[nH]ccc23)CC1	Papp	29.6	10^-6 cm/s	2022
CHEMBL2443262	COc1ccsc1CNCC[C@@]1(c2ccccn2)CCOC2(CCCC2)C1	Papp	4.4	10^-6 cm/s	2022
CHEMBL5078176	Cc1ccc(NC(=O)c2cc(C(F)(F)F)cnn2)cc1-c1ccc2c(c1)OC1(CCOCC1)CC(=O)N2	Papp	43.49	10^-6 cm/s	2022
CHEMBL428647	CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O	Papp	19.43	10^-6 cm/s	2022
CHEMBL5196972	COc1ccc(C2CC2)cc1S(=O)(=O)Nc1ccc2c(c1)CCN2C(C)=O	Papp	18.42	10^-6 cm/s	2022
CHEMBL1751	C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O	Papp	8.97	10^-6 cm/s	2022
CHEMBL5197968	NC(c1ccccc1)c1ccccc1Cn1c(=S)[nH]c(=O)c2[nH]ccc21	Papp	18	10^-6 cm/s	2022
CHEMBL5185556	COc1ccc(-c2cn3ccc(NCCCN4CCOCC4)cc3n2)c(OC)c1	Papp	23.5	10^-6 cm/s	2022
CHEMBL428647	CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O	Papp	1.98	10^-6 cm/s	2022
CHEMBL24	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1	Papp	36	10^-6 cm/s	2022
CHEMBL27	CC(C)NCC(O)COc1cccc2ccccc12	Papp	20.95	10^-6 cm/s	2022
CHEMBL5172121	CCNC(=O)c1cncc(-c2cnn3cc(-c4cnn(CC)c4)c(O[C@H]4CCOC4)nc23)c1	Papp	0.6	10^-6 cm/s	2022
CHEMBL5187149	CC(C)CCC(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CN)C(=O)N[C@@H](CC1CCCC1)C(=O)N[C@@H](C)c1nc2cccc(-c3ccccc3)c2[nH]1)C(C)C	Papp	1.82	10^-6 cm/s	2022
CHEMBL5189954	COc1cccc2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)COC(=O)c3c(C(F)(F)F)cc(C)nc3C)cc12	Papp	24.3	10^-6 cm/s	2022
CHEMBL5208938	Cc1ccc(O)c(C)c1-n1c(N)c(C(N)=O)c2nccnc21	Papp	19	10^-6 cm/s	2022
CHEMBL5220884	Cn1ccc2cc(-c3cnc4ccc(C(=O)N5CCCCC5)cc4n3)ccc2c1=O	Papp	34	10^-6 cm/s	2022
CHEMBL4521212	COC(=O)N1CCN([C@H]2CC[C@H](Nc3nc(Nc4cnn(C)c4)nc4ccc(C)nc34)CC2)CC1	Papp	7.9	10^-6 cm/s	2022
CHEMBL3889746	O=C(Nc1ccc(OC(F)(F)F)cc1)c1cncc(-c2cccnc2)c1	Papp	27.1	10^-6 cm/s	2022
CHEMBL5169772	Cl.Cl.Cn1nc2c(=O)n(CC3(O)CCN(Cc4ccc(-c5ncon5)cc4Cl)CC3)cnc2c1-c1ccc(CN)cc1	Papp	4.34	10^-6 cm/s	2022
CHEMBL5200808	Cl.Cl.Cn1nc2c(=O)n(CC3(O)CCN(Cc4ccc(-c5ccco5)cc4Cl)CC3)cnc2c1-c1ccc(CNCCO)cc1	Papp	4.67	10^-6 cm/s	2022
CHEMBL522143	O=C(N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)c1ccncc1	Papp	7.8	10^-6 cm/s	2022
CHEMBL5084538	Cl.O=C(N[C@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)c1cccs1	Papp	11.9	10^-6 cm/s	2022
CHEMBL5085734	CC(C)c1ccccc1-c1nc(NCc2ccccn2)c2c(ccn2C)n1	Papp	122	10^-6 cm/s	2022
CHEMBL5172031	CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCN(CCCCC(=O)Nc4cccc5c4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)cc2OC)ncc1Cl	Papp	1.4	10^-6 cm/s	2022
CHEMBL5199677	COc1cc2c(cc1OC)CN(c1ccc(C=O)cc1)CC2	Papp	2.8	10^-6 cm/s	2022
CHEMBL4096039	Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4cc(F)c(F)c(F)c4)nn3)[C@H]2O)cc1	Papp	30	10^-6 cm/s	2022
CHEMBL5208259	COC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@H](OC)[C@H](n3cc(-c4cccc(F)c4)nn3)[C@H]2OC)[C@H](OC)[C@@H](n2cc(-c3cccc(F)c3)nn2)[C@H]1OC	Papp	56	10^-6 cm/s	2022
CHEMBL5181788	O=C(CCCCCCCCC[P+](c1ccc(C(F)(F)F)cc1)(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)NC(COC(=O)CCCc1ccccc1)(COC(=O)CCCc1ccccc1)COC(=O)CCCc1ccccc1.[Br-]	Papp	24.3	10^-6 cm/s	2022
CHEMBL1469	O=C(O)CCCc1ccccc1	Papp	0.74	10^-6 cm/s	2022
CHEMBL5208879	CN1CCC(Cn2cc(NC(=O)c3cc(C(=O)c4c(Cl)ccc(Cl)c4F)c[nH]3)cn2)CC1	Papp	0.6	10^-6 cm/s	2022
